,time,open,high,low,close,tick_volume,spread,real_volume
0,1641171600,16399.95,16408.7,16385.05,16394.7,1047,60,0
1,1641173400,16394.7,16401.7,16383.8,16397.95,709,60,0
2,1641175200,16399.7,16415.95,16398.45,16414.7,870,60,0
3,1641177000,16414.2,16434.45,16414.2,16430.2,910,60,0
4,1641178800,16430.2,16441.7,16424.95,16433.95,1105,60,0
5,1641180600,16433.95,16437.95,16413.95,16417.45,1528,60,0
6,1641182400,16416.95,16420.7,16407.95,16415.45,1227,60,0
7,1641184200,16415.2,16430.7,16414.2,16430.7,838,60,0
8,1641186000,16430.7,16432.45,16415.8,16423.2,756,60,0
9,1641187800,16423.2,16425.2,16415.95,16422.45,542,60,0
10,1641189600,16422.45,16422.95,16417.2,16420.6,413,60,0
11,1641191400,16421.35,16424.85,16419.05,16424.85,386,60,0
12,1641193200,16424.85,16426.1,16417.55,16423.35,561,60,0
13,1641195000,16423.1,16428.1,16420.85,16423.45,495,60,0
14,1641196800,16423.2,16427.35,16406.7,16416.45,762,60,0
15,1641198600,16416.2,16419.7,16399.3,16412.95,832,60,0
16,1641200400,16413.2,16414.2,16397.47,16404.45,824,60,0
17,1641202200,16404.95,16417.95,16400.7,16415.2,841,60,0
18,1641204000,16414.95,16424.2,16408.45,16420.7,1638,60,0
19,1641205800,16420.95,16423.2,16401.2,16402.95,952,60,0
20,1641207600,16405.2,16420.35,16404.2,16412.45,1263,60,0
21,1641209400,16412.7,16427.45,16407.05,16426.85,867,60,0
22,1641211200,16426.85,16442.2,16423.7,16441.35,830,60,0
23,1641213000,16441.6,16442.7,16435.95,16440.7,654,60,0
24,1641214800,16440.95,16464.95,16440.35,16458.2,970,60,0
25,1641216600,16458.45,16466.85,16454.45,16462.45,768,60,0
26,1641218400,16461.7,16462.2,16447.7,16451.45,909,60,0
27,1641220200,16451.45,16457.35,16442.45,16445.45,940,60,0
28,1641222000,16444.95,16457.45,16443.45,16445.7,1217,60,0
29,1641223800,16445.95,16447.45,16397.95,16400.95,1638,60,0
30,1641225600,16400.95,16412.45,16385.2,16397.45,2285,60,0
31,1641227400,16397.45,16498.6,16306.1,16330.7,5756,60,0
32,1641229200,16333.45,16439.7,16320.35,16433.1,5465,60,0
33,1641231000,16431.2,16456.1,16401.45,16450.1,4950,60,0
34,1641232800,16450.85,16457.6,16401.05,16425.3,4495,60,0
35,1641234600,16424.55,16445.95,16387.8,16405.45,4282,60,0
36,1641236400,16403.45,16435.2,16387.95,16428.3,3497,60,0
37,1641238200,16428.05,16444.45,16417.1,16433.95,2753,60,0
38,1641240000,16434.7,16450.1,16417.3,16443.7,2834,60,0
39,1641241800,16443.7,16480.2,16439.35,16473.2,2695,60,0
40,1641243600,16472.7,16484.85,16463.35,16477.1,2551,60,0
41,1641245400,16477.35,16511.55,16466.85,16487.95,2701,60,0
42,1641247200,16487.95,16509.55,16483.7,16495.2,2882,60,0
43,1641249000,16494.95,16507.45,16464.45,16503.45,3734,60,0
44,1641250800,16502.7,16521.45,16495.7,16513.2,1314,60,0
45,1641252600,16513.2,16518.2,16504.05,16504.55,340,60,0
46,1641258000,16512.3,16519.3,16510.57,16512.3,494,60,0
47,1641259800,16512.3,16512.55,16491.55,16494.8,921,60,0
48,1641261600,16495.3,16497.55,16488.05,16494.2,1126,60,0
49,1641263400,16494.2,16506.8,16490.3,16503.8,879,60,0
50,1641265200,16503.3,16506.55,16495.55,16502.05,1185,60,0
51,1641267000,16502.05,16505.05,16497.55,16497.7,1334,60,0
52,1641268800,16497.7,16503.05,16495.8,16501.8,1036,60,0
53,1641270600,16501.8,16515.05,16498.3,16514.05,793,60,0
54,1641272400,16514.05,16517.55,16506.57,16513.8,757,60,0
55,1641274200,16514.05,16517.95,16511.05,16514.3,488,60,0
56,1641276000,16514.05,16528.8,16510.8,16528.55,575,60,0
57,1641277800,16528.55,16537.8,16526.8,16534.3,704,60,0
