,time,open,high,low,close,tick_volume,spread,real_volume
0,1577923200,1.12118,1.12165,1.12073,1.12142,426,3,0
1,1577926800,1.12142,1.1221700000000001,1.12142,1.12189,523,1,0
2,1577930400,1.12189,1.12192,1.12157,1.12184,505,1,0
3,1577934000,1.12183,1.12245,1.12181,1.12211,762,1,0
4,1577937600,1.12209,1.12246,1.12184,1.12224,523,1,0
5,1577941200,1.12226,1.12232,1.12126,1.12134,606,1,0
6,1577944800,1.12134,1.12145,1.1201,1.12013,663,1,0
7,1577948400,1.12012,1.12044,1.1201,1.12044,738,1,0
8,1577952000,1.12044,1.12077,1.12038,1.12068,696,1,0
9,1577955600,1.1207799999999999,1.12103,1.12044,1.12099,1435,1,0
10,1577959200,1.121,1.12136,1.12053,1.1212,1555,1,0
11,1577962800,1.12115,1.12141,1.12013,1.12032,1236,1,0
12,1577966400,1.12031,1.1204,1.11929,1.11984,1184,1,0
13,1577970000,1.11983,1.12023,1.11843,1.11848,1486,1,0
14,1577973600,1.11848,1.11944,1.11831,1.11931,1236,1,0
15,1577977200,1.11929,1.11971,1.11897,1.11964,1558,1,0
16,1577980800,1.11964,1.11965,1.11702,1.11743,2341,1,0
17,1577984400,1.11742,1.12023,1.11711,1.12006,2843,1,0
18,1577988000,1.12006,1.1203,1.11653,1.11663,2289,1,0
19,1577991600,1.11663,1.11718,1.11637,1.11699,1336,1,0
20,1577995200,1.11699,1.11723,1.11638,1.11702,1125,1,0
21,1577998800,1.11703,1.11704,1.11644,1.11667,1052,1,0
22,1578002400,1.11663,1.11717,1.11661,1.11694,1016,1,0
23,1578006000,1.11694,1.11736,1.11691,1.11715,401,1,0
24,1578009600,1.11718,1.1172900000000001,1.11688,1.11715,277,1,0
25,1578013200,1.11715,1.11736,1.11703,1.11709,341,1,0
26,1578016800,1.1171,1.11761,1.11699,1.11756,430,1,0
27,1578020400,1.11755,1.11786,1.11724,1.11737,787,1,0
28,1578024000,1.11737,1.11776,1.1172,1.11725,1332,1,0
29,1578027600,1.11727,1.11737,1.11696,1.11719,899,1,0
30,1578031200,1.11722,1.1175,1.11687,1.11701,681,1,0
31,1578034800,1.11701,1.11706,1.11645,1.11665,995,1,0
32,1578038400,1.11665,1.11696,1.11641,1.11693,840,1,0
33,1578042000,1.11693,1.11716,1.11522,1.11532,2260,1,0
34,1578045600,1.11533,1.11606,1.11507,1.11513,2007,1,0
35,1578049200,1.11513,1.11524,1.11401,1.11402,1879,1,0
36,1578052800,1.11402,1.11435,1.11308,1.11361,1993,1,0
37,1578056400,1.11361,1.11361,1.1125099999999999,1.11301,1658,1,0
38,1578060000,1.11301,1.11427,1.11283,1.11392,1482,1,0
39,1578063600,1.11392,1.11488,1.11374,1.11384,1694,1,0
40,1578067200,1.11382,1.11542,1.11354,1.11525,1901,1,0
41,1578070800,1.11524,1.11674,1.11524,1.11635,2852,1,0
42,1578074400,1.11635,1.11799,1.11626,1.1172,1908,1,0
43,1578078000,1.11721,1.11741,1.1168,1.11721,1186,1,0
44,1578081600,1.11722,1.11733,1.11661,1.11667,1507,1,0
45,1578085200,1.11665,1.11682,1.11614,1.11676,1521,1,0
46,1578088800,1.11676,1.11676,1.11602,1.11616,832,1,0
47,1578092400,1.11614,1.1162,1.11524,1.11559,535,1,0
48,1578268800,1.11642,1.11659,1.11589,1.11594,256,1,0
49,1578272400,1.11598,1.11676,1.11593,1.11605,1230,1,0
50,1578276000,1.11602,1.11684,1.11601,1.11636,1160,1,0
51,1578279600,1.11636,1.11655,1.11614,1.11629,914,1,0
52,1578283200,1.11629,1.11671,1.11625,1.11655,614,1,0
53,1578286800,1.11656,1.11711,1.11654,1.1166,718,1,0
54,1578290400,1.1166,1.11662,1.1161699999999999,1.11644,582,1,0
55,1578294000,1.11644,1.11652,1.1160700000000001,1.11624,475,1,0
56,1578297600,1.11625,1.11625,1.11573,1.11609,777,1,0
57,1578301200,1.11609,1.1166800000000001,1.116,1.11646,1455,1,0
58,1578304800,1.11652,1.1179999999999999,1.11634,1.11788,1927,1,0
59,1578308400,1.11788,1.11936,1.11753,1.11934,1848,1,0
60,1578312000,1.11934,1.11997,1.119,1.11964,1530,1,0
61,1578315600,1.11964,1.12056,1.11963,1.12033,1623,1,0
62,1578319200,1.1203400000000001,1.12045,1.11953,1.11981,1078,1,0
63,1578322800,1.11984,1.12032,1.11913,1.11977,1548,1,0
64,1578326400,1.11977,1.12003,1.11826,1.11833,1709,1,0
65,1578330000,1.11832,1.11902,1.11822,1.11887,1989,1,0
66,1578333600,1.11888,1.11897,1.11811,1.11874,1461,1,0
67,1578337200,1.11873,1.11961,1.11844,1.11951,977,1,0
68,1578340800,1.11952,1.1198,1.1192,1.1192,749,1,0
69,1578344400,1.1192,1.11929,1.11881,1.11913,732,1,0
70,1578348000,1.11915,1.11938,1.11891,1.11937,819,1,0
71,1578351600,1.11934,1.11991,1.11931,1.11977,334,1,0
72,1578355200,1.11939,1.11963,1.11938,1.1195599999999999,339,1,0
73,1578358800,1.11959,1.11975,1.11941,1.11955,558,1,0
74,1578362400,1.11955,1.1195599999999999,1.11895,1.11899,691,1,0
75,1578366000,1.11899,1.11971,1.11897,1.11936,747,1,0
76,1578369600,1.11935,1.11935,1.1191,1.11915,405,1,0
77,1578373200,1.11916,1.11945,1.11913,1.11924,536,1,0
78,1578376800,1.11924,1.11935,1.11907,1.1191,454,1,0
79,1578380400,1.11909,1.11926,1.11829,1.11831,585,1,0
80,1578384000,1.11831,1.11897,1.1181,1.11816,1534,1,0
81,1578387600,1.11817,1.11854,1.1173,1.11742,1871,1,0
82,1578391200,1.11741,1.11876,1.11726,1.11847,2231,1,0
83,1578394800,1.11847,1.11897,1.11807,1.11846,1586,1,0
84,1578398400,1.11846,1.11862,1.1165,1.11764,1919,1,0
85,1578402000,1.11764,1.1185,1.11722,1.11818,1662,1,0
86,1578405600,1.11818,1.11833,1.11711,1.11748,1489,1,0
87,1578409200,1.11748,1.11781,1.11549,1.11563,2296,1,0
88,1578412800,1.11561,1.11623,1.11466,1.11478,2313,1,0
89,1578416400,1.11449,1.11518,1.11343,1.11418,2758,1,0
90,1578420000,1.11417,1.1144,1.11337,1.11371,1506,1,0
91,1578423600,1.11372,1.11473,1.11369,1.11425,1242,1,0
92,1578427200,1.11425,1.1149499999999999,1.11415,1.11436,824,1,0
93,1578430800,1.11437,1.1145,1.11418,1.11446,926,1,0
94,1578434400,1.11446,1.11477,1.11425,1.11438,701,1,0
95,1578438000,1.11438,1.11485,1.11438,1.11471,526,1,0
96,1578441600,1.11494,1.11519,1.1144,1.11479,685,1,0
97,1578445200,1.11488,1.11544,1.11466,1.11541,1397,1,0
98,1578448800,1.1154,1.11683,1.11527,1.11587,3244,1,0
99,1578452400,1.11588,1.11633,1.11549,1.11558,2248,1,0
100,1578456000,1.11558,1.11614,1.11532,1.11588,2060,1,0
101,1578459600,1.11587,1.11593,1.11537,1.11547,1189,1,0
102,1578463200,1.11547,1.11558,1.11452,1.11478,891,1,0
103,1578466800,1.11481,1.11514,1.11474,1.11492,868,1,0
104,1578470400,1.11492,1.11539,1.11485,1.11502,984,1,0
105,1578474000,1.11502,1.1155,1.11433,1.11513,2198,1,0
106,1578477600,1.11516,1.11533,1.11302,1.1135,2896,1,0
107,1578481200,1.1135,1.11449,1.11254,1.11384,1984,1,0
108,1578484800,1.11384,1.11386,1.11255,1.11274,1840,1,0
109,1578488400,1.11273,1.11311,1.11198,1.11273,1769,1,0
110,1578492000,1.11272,1.11306,1.1114,1.11168,1800,1,0
111,1578495600,1.11168,1.11224,1.11113,1.112,2217,1,0
112,1578499200,1.112,1.1127,1.11177,1.11247,1772,1,0
113,1578502800,1.11244,1.11309,1.11154,1.11199,1940,1,0
114,1578506400,1.11199,1.11203,1.11089,1.11166,2625,1,0
115,1578510000,1.11164,1.1126,1.11132,1.1118,1913,1,0
116,1578513600,1.11181,1.11181,1.11106,1.11132,1181,1,0
