,time,open,high,low,close,tick_volume,spread,real_volume
0,1577923200,144.032,144.081,143.781,143.983,938,1,0
1,1577926800,143.983,144.093,143.916,144.061,765,5,0
2,1577930400,144.062,144.181,144.008,144.106,1404,1,0
3,1577934000,144.11,144.191,144.006,144.058,1449,1,0
4,1577937600,144.057,144.072,143.917,143.987,1106,2,0
5,1577941200,143.988,144.0,143.507,143.6,1379,1,0
6,1577944800,143.597,143.709,143.531,143.623,1306,1,0
7,1577948400,143.623,143.692,143.566,143.689,1449,2,0
8,1577952000,143.689,143.791,143.592,143.714,1294,1,0
9,1577955600,143.715,143.912,143.699,143.814,2825,1,0
10,1577959200,143.823,143.942,143.731,143.831,3095,1,0
11,1577962800,143.825,143.916,143.773,143.825,2485,1,0
12,1577966400,143.825,143.84,143.72,143.752,2233,1,0
13,1577970000,143.752,143.755,143.482,143.578,2251,1,0
14,1577973600,143.578,143.75,143.49,143.571,2255,1,0
15,1577977200,143.562,143.565,143.168,143.222,2987,1,0
16,1577980800,143.221,143.268,142.735,142.883,3530,1,0
17,1577984400,142.883,142.993,142.673,142.805,4353,1,0
18,1577988000,142.802,142.815,142.273,142.344,3685,1,0
19,1577991600,142.344,142.549,142.314,142.547,2986,1,0
20,1577995200,142.548,142.647,142.42,142.596,2902,1,0
21,1577998800,142.595,142.629,142.51,142.515,2235,1,0
22,1578002400,142.517,142.657,142.515,142.63,1567,1,0
23,1578006000,142.631,142.656,142.579,142.583,782,2,0
24,1578009600,142.566,142.638,142.46,142.571,718,98,0
25,1578013200,142.571,142.783,142.536,142.706,1366,2,0
26,1578016800,142.704,142.754,142.594,142.612,2000,1,0
27,1578020400,142.611,142.669,142.099,142.154,2762,1,0
28,1578024000,142.154,142.231,141.773,141.86,4160,1,0
29,1578027600,141.858,142.113,141.813,142.111,3177,1,0
30,1578031200,142.11,142.171,141.911,141.935,2711,1,0
31,1578034800,141.935,141.997,141.786,141.872,2712,1,0
32,1578038400,141.872,141.926,141.654,141.92,1873,1,0
33,1578042000,141.92,141.92,141.193,141.318,4249,1,0
34,1578045600,141.314,141.718,141.249,141.449,5327,1,0
35,1578049200,141.444,141.495,141.201,141.222,5032,1,0
36,1578052800,141.226,141.476,141.226,141.312,4445,1,0
37,1578056400,141.311,141.336,141.001,141.072,3573,1,0
38,1578060000,141.072,141.407,141.025,141.375,3406,1,0
39,1578063600,141.383,141.757,141.38,141.389,3473,1,0
40,1578067200,141.385,141.618,141.346,141.438,4166,1,0
41,1578070800,141.28,141.55,141.2,141.221,5571,1,0
42,1578074400,141.219,141.401,141.164,141.298,3645,1,0
43,1578078000,141.298,141.354,141.21,141.31,3112,1,0
44,1578081600,141.309,141.378,141.017,141.378,3651,1,0
45,1578085200,141.378,141.397,141.254,141.263,3656,1,0
46,1578088800,141.264,141.341,141.25,141.312,2395,1,0
47,1578092400,141.311,141.389,141.303,141.353,924,1,0
48,1578268800,141.168,141.191,140.87,140.87,687,6,0
49,1578272400,140.832,141.238,140.832,141.193,3455,1,0
50,1578276000,141.194,141.489,141.194,141.349,3883,1,0
51,1578279600,141.348,141.361,141.135,141.186,2625,1,0
52,1578283200,141.187,141.412,141.177,141.383,1988,1,0
53,1578286800,141.383,141.417,141.313,141.359,1603,1,0
54,1578290400,141.359,141.45,141.331,141.387,1707,1,0
55,1578294000,141.4,141.418,141.334,141.353,1328,2,0
56,1578297600,141.356,141.391,141.118,141.36,2424,1,0
57,1578301200,141.357,141.588,141.307,141.323,3896,1,0
58,1578304800,141.322,141.525,141.169,141.508,4998,1,0
59,1578308400,141.516,141.967,141.491,141.927,4628,1,0
60,1578312000,141.934,142.298,141.921,142.044,3852,1,0
61,1578315600,142.051,142.386,142.042,142.172,2994,1,0
62,1578319200,142.181,142.262,142.042,142.105,2962,1,0
63,1578322800,142.111,142.18,141.991,142.076,2901,1,0
64,1578326400,142.071,142.284,141.981,142.058,3678,1,0
65,1578330000,142.058,142.58,142.022,142.533,4143,1,0
66,1578333600,142.536,142.744,142.431,142.64,3148,1,0
67,1578337200,142.642,142.758,142.571,142.582,2187,1,0
68,1578340800,142.576,142.673,142.576,142.589,1993,1,0
69,1578344400,142.588,142.781,142.56,142.761,2282,1,0
70,1578348000,142.759,142.788,142.678,142.775,1904,1,0
71,1578351600,142.778,142.783,142.703,142.703,1156,1,0
72,1578355200,142.629,142.792,142.608,142.789,862,6,0
73,1578358800,142.789,142.833,142.725,142.798,2451,1,0
74,1578362400,142.794,142.904,142.749,142.832,2481,1,0
75,1578366000,142.833,142.882,142.767,142.829,2458,1,0
76,1578369600,142.829,142.882,142.796,142.857,1940,1,0
77,1578373200,142.857,142.92,142.84,142.897,1615,1,0
78,1578376800,142.897,142.945,142.877,142.904,1863,1,0
79,1578380400,142.903,142.918,142.628,142.637,1508,1,0
80,1578384000,142.64,142.723,142.45,142.667,3389,1,0
81,1578387600,142.668,142.688,142.304,142.371,3555,1,0
82,1578391200,142.371,143.295,142.36,143.035,4909,1,0
83,1578394800,143.03,143.134,142.792,142.885,3658,1,0
84,1578398400,142.883,142.889,142.477,142.677,4121,1,0
85,1578402000,142.677,142.725,142.498,142.509,2875,1,0
86,1578405600,142.509,142.535,142.128,142.26,3240,1,0
87,1578409200,142.262,142.314,142.066,142.255,3516,1,0
