,time,open,high,low,close,tick_volume,spread,real_volume
0,1577923200,144.032,144.081,143.781,144.079,545,1,0
1,1577925000,144.079,144.079,143.949,143.983,393,43,0
2,1577926800,143.983,144.093,143.916,144.059,339,11,0
3,1577928600,144.059,144.074,144.007,144.061,426,5,0
4,1577930400,144.062,144.118,144.008,144.021,673,3,0
5,1577932200,144.023,144.181,144.023,144.106,731,1,0
6,1577934000,144.11,144.191,144.076,144.131,755,3,0
7,1577935800,144.131,144.134,144.006,144.058,694,1,0
8,1577937600,144.057,144.072,143.917,143.948,702,3,0
9,1577939400,143.947,144.025,143.925,143.987,404,2,0
10,1577941200,143.988,144.0,143.651,143.706,654,1,0
11,1577943000,143.701,143.716,143.507,143.6,725,1,0
12,1577944800,143.597,143.689,143.531,143.636,616,1,0
13,1577946600,143.635,143.709,143.567,143.623,690,4,0
14,1577948400,143.623,143.659,143.566,143.619,967,2,0
15,1577950200,143.619,143.692,143.594,143.689,482,5,0
16,1577952000,143.689,143.791,143.681,143.688,710,2,0
17,1577953800,143.69,143.765,143.592,143.714,584,1,0
18,1577955600,143.715,143.912,143.699,143.804,1459,1,0
19,1577957400,143.804,143.899,143.706,143.814,1366,1,0
20,1577959200,143.823,143.899,143.731,143.757,1687,1,0
21,1577961000,143.755,143.942,143.754,143.831,1408,1,0
22,1577962800,143.825,143.916,143.789,143.845,1146,1,0
23,1577964600,143.845,143.892,143.773,143.825,1339,1,0
24,1577966400,143.825,143.84,143.723,143.733,1233,1,0
25,1577968200,143.733,143.824,143.72,143.752,1000,1,0
26,1577970000,143.752,143.755,143.51,143.543,1149,1,0
27,1577971800,143.552,143.606,143.482,143.578,1102,1,0
28,1577973600,143.578,143.75,143.523,143.726,1230,2,0
29,1577975400,143.723,143.735,143.49,143.571,1025,1,0
30,1577977200,143.562,143.565,143.281,143.312,1389,1,0
31,1577979000,143.305,143.318,143.168,143.222,1598,1,0
32,1577980800,143.221,143.268,142.997,143.014,1541,1,0
33,1577982600,143.007,143.008,142.735,142.883,1989,1,0
34,1577984400,142.883,142.993,142.673,142.775,1970,1,0
35,1577986200,142.774,142.904,142.675,142.805,2383,1,0
36,1577988000,142.802,142.815,142.481,142.554,1830,1,0
37,1577989800,142.555,142.555,142.273,142.344,1855,1,0
38,1577991600,142.344,142.506,142.314,142.482,1710,1,0
39,1577993400,142.484,142.549,142.427,142.547,1276,2,0
40,1577995200,142.548,142.575,142.42,142.573,1403,1,0
41,1577997000,142.572,142.647,142.559,142.596,1499,1,0
42,1577998800,142.595,142.602,142.51,142.568,1149,1,0
43,1578000600,142.563,142.629,142.511,142.515,1086,1,0
44,1578002400,142.517,142.63,142.515,142.63,634,1,0
45,1578004200,142.628,142.657,142.561,142.63,933,3,0
46,1578006000,142.631,142.656,142.585,142.622,394,3,0
47,1578007800,142.622,142.636,142.579,142.583,388,2,0
48,1578009600,142.566,142.638,142.46,142.578,257,98,0
49,1578011400,142.578,142.631,142.55,142.571,461,110,0
50,1578013200,142.571,142.737,142.536,142.733,462,5,0
51,1578015000,142.733,142.783,142.693,142.706,904,2,0
52,1578016800,142.704,142.736,142.62,142.689,955,1,0
53,1578018600,142.689,142.754,142.594,142.612,1045,1,0
54,1578020400,142.611,142.669,142.514,142.559,971,1,0
55,1578022200,142.56,142.577,142.099,142.154,1791,1,0
56,1578024000,142.154,142.231,141.991,142.006,1935,1,0
57,1578025800,142.004,142.098,141.773,141.86,2225,1,0
58,1578027600,141.858,141.95,141.813,141.839,1825,1,0
59,1578029400,141.839,142.113,141.831,142.111,1352,1,0
60,1578031200,142.11,142.171,142.041,142.098,1469,1,0
61,1578033000,142.099,142.116,141.911,141.935,1242,1,0
62,1578034800,141.935,141.997,141.786,141.815,1361,1,0
63,1578036600,141.811,141.949,141.811,141.872,1351,1,0
64,1578038400,141.872,141.886,141.654,141.744,1093,1,0
65,1578040200,141.744,141.926,141.744,141.92,780,1,0
66,1578042000,141.92,141.92,141.564,141.618,1820,1,0
67,1578043800,141.621,141.657,141.193,141.318,2429,1,0
68,1578045600,141.314,141.718,141.249,141.711,2953,1,0
69,1578047400,141.693,141.718,141.418,141.449,2374,1,0
70,1578049200,141.444,141.495,141.256,141.337,2455,1,0
71,1578051000,141.339,141.415,141.201,141.222,2577,1,0
72,1578052800,141.226,141.476,141.226,141.436,2346,1,0
73,1578054600,141.43,141.448,141.235,141.312,2099,1,0
74,1578056400,141.311,141.336,141.228,141.275,1627,1,0
75,1578058200,141.276,141.276,141.001,141.072,1946,1,0
76,1578060000,141.072,141.274,141.025,141.198,1710,1,0
77,1578061800,141.194,141.407,141.185,141.375,1696,1,0
78,1578063600,141.383,141.757,141.383,141.571,1894,1,0
79,1578065400,141.575,141.575,141.38,141.389,1579,1,0
80,1578067200,141.385,141.618,141.346,141.387,1787,1,0
81,1578069000,141.391,141.586,141.391,141.438,2379,1,0
82,1578070800,141.28,141.55,141.247,141.445,3028,1,0
83,1578072600,141.444,141.484,141.2,141.221,2543,1,0
84,1578074400,141.219,141.381,141.164,141.359,1861,1,0
85,1578076200,141.359,141.401,141.291,141.298,1784,1,0
86,1578078000,141.298,141.354,141.21,141.258,1581,1,0
87,1578079800,141.257,141.34,141.21,141.31,1531,1,0
88,1578081600,141.309,141.342,141.153,141.162,1391,1,0
89,1578083400,141.162,141.378,141.017,141.378,2260,1,0
90,1578085200,141.378,141.397,141.264,141.332,2064,1,0
91,1578087000,141.329,141.35,141.254,141.263,1592,1,0
92,1578088800,141.264,141.328,141.25,141.287,1119,1,0
93,1578090600,141.287,141.341,141.263,141.312,1276,2,0
94,1578092400,141.311,141.364,141.303,141.345,528,1,0
95,1578094200,141.344,141.389,141.323,141.353,396,1,0
96,1578268800,141.168,141.191,140.959,140.96,390,6,0
97,1578270600,140.959,141.033,140.87,140.87,297,29,0
98,1578272400,140.832,141.055,140.832,140.997,1374,1,0
99,1578274200,140.998,141.238,140.998,141.193,2081,1,0
100,1578276000,141.194,141.358,141.194,141.354,2128,1,0
101,1578277800,141.351,141.489,141.311,141.349,1755,1,0
102,1578279600,141.348,141.361,141.239,141.333,1317,1,0
103,1578281400,141.326,141.337,141.135,141.186,1308,1,0
104,1578283200,141.187,141.384,141.177,141.38,995,1,0
105,1578285000,141.376,141.412,141.344,141.383,993,1,0
106,1578286800,141.383,141.413,141.354,141.375,657,1,0
107,1578288600,141.373,141.417,141.313,141.359,946,1,0
108,1578290400,141.359,141.45,141.331,141.444,979,1,0
109,1578292200,141.442,141.442,141.345,141.387,728,3,0
110,1578294000,141.4,141.418,141.335,141.369,682,2,0
111,1578295800,141.368,141.387,141.334,141.353,646,2,0
112,1578297600,141.356,141.357,141.118,141.235,1125,1,0
