,time,open,high,low,close,tick_volume,spread,real_volume
0,1514851200,1307.33,1318.82,1307.31,1317.82,178318,0,0
1,1514883600,1309.81,1310.17,1308.79,1309.2,3322,36,1342420
2,1514885400,1309.25,1309.62,1308.62,1309.28,2864,36,1196037
3,1514887200,1309.28,1309.5,1308.4,1309.48,3534,36,1577687
4,1514889000,1309.48,1310.73,1309.44,1310.12,3545,36,1457336
5,1514890800,1310.1,1310.79,1309.88,1310.33,2649,36,1103166
6,1514892600,1310.33,1312.21,1310.33,1312.14,3701,36,1634219
7,1514894400,1312.08,1312.21,1310.03,1310.9,3469,36,1387963
8,1514896200,1310.9,1312.74,1310.88,1311.74,3560,36,1575703
9,1514898000,1311.74,1312.15,1311.24,1311.35,2135,36,886473
10,1514899800,1311.35,1311.62,1310.04,1310.06,2256,36,796902
11,1514901600,1310.07,1311.9,1309.97,1311.51,2969,36,1425718
12,1514903400,1311.51,1312.49,1311.3,1311.96,2768,36,1282007
13,1514905200,1311.98,1313.2,1311.79,1312.94,3954,36,1726401
14,1514907000,1312.94,1314.26,1312.9,1313.81,4755,36,1879027
15,1514908800,1313.81,1314.23,1313.06,1313.09,4385,36,1672264
16,1514910600,1313.06,1314.42,1312.12,1312.54,7422,36,2915946
17,1514912400,1312.56,1313.46,1310.71,1312.13,6566,36,2429008
18,1514914200,1312.16,1312.82,1311.83,1312.12,5197,36,1820520
19,1514916000,1312.12,1313.5,1312.08,1312.49,5154,36,2053459
20,1514917800,1312.48,1312.58,1311.16,1311.16,4241,36,1677534
21,1514919600,1311.08,1311.91,1311.08,1311.5,3217,36,1229263
22,1514921400,1311.45,1312.32,1311.23,1312.32,2953,36,884700
23,1514923200,1312.29,1314.48,1312.26,1314.46,3300,36,1265248
24,1514925000,1314.45,1314.71,1313.71,1314.41,2561,36,828946
25,1514926800,1314.42,1315.07,1314.34,1315.06,2035,36,748974
26,1514928600,1315.07,1316.07,1314.9,1315.82,2324,36,985363
27,1514930400,1315.82,1316.69,1315.58,1316.48,2210,36,833884
28,1514932200,1316.47,1318.33,1316.46,1318.12,3467,36,1493508
29,1514934000,1318.11,1318.8,1317.25,1317.57,1548,34,607017
30,1514935800,1317.57,1318.14,1317.46,1317.82,695,29,145270
31,1514937600,1317.37,1321.36,1307.39,1312.8,214393,0,0
32,1514941200,1317.27,1318.82,1317.27,1318.5,1228,36,374842
33,1514943000,1318.49,1321.24,1318.4,1320.15,2390,36,890270
34,1514944800,1320.18,1321.12,1320.06,1320.56,1652,36,688462
35,1514946600,1320.56,1321.1,1320.17,1320.47,1880,36,770120
36,1514948400,1320.47,1320.5,1318.57,1319.53,3067,36,1006570
37,1514950200,1319.54,1319.58,1316.8,1318.12,3665,36,892770
38,1514952000,1318.13,1318.26,1315.45,1315.82,3060,36,829047
39,1514953800,1315.81,1315.86,1311.82,1312.11,4355,36,1429719
40,1514955600,1312.23,1313.09,1311.78,1312.5,2644,36,1026272
41,1514957400,1312.5,1314.57,1312.49,1313.98,2338,36,779902
42,1514959200,1313.96,1313.97,1312.17,1313.56,1679,36,609097
43,1514961000,1313.56,1313.97,1312.98,1313.51,1187,37,561400
44,1514962800,1313.51,1314.11,1313.19,1313.9,1030,32,504700
45,1514964600,1313.9,1314.62,1313.69,1314.52,1962,36,934947
46,1514966400,1314.52,1315.33,1314.31,1314.49,2125,34,977359
47,1514968200,1314.49,1314.56,1312.82,1313.11,2781,36,991822
48,1514970000,1313.11,1313.22,1311.68,1312.81,3486,36,1158239
